game_id,white_player,black_player,white_groups,black_groups,all_groups,white_spbts,black_spbts,white_exposure,black_exposure,plies_analyzed,white_f_pawn_fates,black_f_pawn_fates,white,black,result,date,time_control,variant,starting_fen,white_elo,black_elo,white_a,black_a,white_b,black_b,white_c,black_c,white_d,black_d,white_e,black_e,white_f,black_f,white_g,black_g,white_h,black_h,cohort_id,cohort_name,cohort_tags
VtREYYaK,Jkkiu,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.01282051282051282,0.08,78,100,14,"{'never_blocked': 0, 'push_f3': 1, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}",Jkkiu,LeelaRookOdds,0-1,2025.08.08,300+30,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
zm21BDoG,LeelaRookOdds,WhatthetheWhatme,[],[],"['engine', 'cohort_member']",0.168,0.13333333333333333,125,150,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 1}","{'never_blocked': 1, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}",LeelaRookOdds,WhatthetheWhatme,1-0,2025.08.08,1800+0,From Position,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/1NBQKBNR w Kkq - 0 1,2000,1923,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
2tGYEcsR,LeelaRookOdds,SomeCM,[],[],"['engine', 'cohort_member']",0.0,0.06060606060606061,107,132,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 1, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 1}",LeelaRookOdds,SomeCM,1-0,2025.08.08,180+2,From Position,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/1NBQKBNR w Kkq - 0 1,2000,2344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
K2o0gpc0,Jkkiu,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.15625,0.0,128,112,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 1}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 1, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}",Jkkiu,LeelaRookOdds,0-1,2025.08.08,300+30,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.375,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
N1L5kUhc,Jkkiu,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.02127659574468085,0.0970873786407767,94,103,16,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 1}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}",Jkkiu,LeelaRookOdds,0-1,2025.08.08,300+30,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.5882352941176471,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
RuA1JCTJ,LeelaRookOdds,WhatthetheWhatme,[],[],"['engine', 'cohort_member']",0.1702127659574468,0.14084507042253522,141,142,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}",LeelaRookOdds,WhatthetheWhatme,1-0,2025.08.08,1800+0,From Position,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/1NBQKBNR w Kkq - 0 1,2000,1923,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
HZ4eozKd,ShowdownStanCifka,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.2413793103448276,0.0,145,122,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 1, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}",ShowdownStanCifka,LeelaRookOdds,1/2-1/2,2025.08.08,180+2,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
olYSid4t,ShowdownStanCifka,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.0,0.0847457627118644,114,118,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 1, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 1, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}",ShowdownStanCifka,LeelaRookOdds,0-1,2025.08.08,180+2,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
Io7pCu8u,ShowdownStanCifka,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.0,0.07575757575757576,113,132,23,"{'never_blocked': 1, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}",ShowdownStanCifka,LeelaRookOdds,0-1,2025.08.08,180+2,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
hwIbNHPm,ShowdownStanCifka,LeelaRookOdds,[],[],"['engine', 'cohort_member']",0.0,0.08064516129032258,114,124,23,"{'never_blocked': 0, 'push_f3': 0, 'push_f4': 1, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 0, 'permanent_block': 0}","{'never_blocked': 0, 'push_f3': 0, 'push_f4': 0, 'capture_e3': 0, 'capture_g3': 0, 'temporary_block': 1, 'permanent_block': 0}",ShowdownStanCifka,LeelaRookOdds,0-1,2025.08.08,180+2,From Position,1nbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQk - 0 1,1500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,leela_odds,Leela Odds Games,"['ai', 'handicap', 'demo']"
