game_id,white_player,black_player,white_groups,black_groups,all_groups,white_spbts,black_spbts,white_exposure,black_exposure,plies_analyzed,white,black,result,date,time_control,variant,starting_fen,white_elo,black_elo,white_a,black_a,white_b,black_b,white_c,black_c,white_d,black_d,white_e,black_e,white_f,black_f,white_g,black_g,white_h,black_h,cohort_id,cohort_name,cohort_tags
,"Maroroa Jones,Gawain C B","Sivanandan,Bodhana",[],[],"['rating_2000_9999', 'cohort_member']",0.10135135135135136,0.06756756756756757,148,148,23,"Maroroa Jones,Gawain C B","Sivanandan,Bodhana",1-0,2025.08.02,,Standard,,2651.0,2216.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Vitiugov,N","Banerjee,Supratit",[],[],"['rating_2000_9999', 'cohort_member']",0.13043478260869565,0.11475409836065574,115,122,23,"Vitiugov,N","Banerjee,Supratit",1-0,2025.08.02,,Standard,,2676.0,2242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5833333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Khoury,Theo","Adams,Mi",[],[],"['rating_2000_9999', 'cohort_member']",0.05185185185185185,0.07333333333333333,135,150,23,"Khoury,Theo","Adams,Mi",0-1,2025.08.02,,Standard,,2239.0,2663.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.2916666666666667,0.25,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Yoon,Jacob D","Conquest,S",[],[],"['rating_2000_9999', 'cohort_member']",0.1532258064516129,0.16923076923076924,124,130,23,"Yoon,Jacob D","Conquest,S",0-1,2025.08.02,,Standard,,2203.0,2511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Ghasi,A","Jackson,Edward",[],[],"['rating_2000_9999', 'cohort_member']",0.1885245901639344,0.11764705882352941,122,136,23,"Ghasi,A","Jackson,Edward",1-0,2025.08.02,,Standard,,2501.0,2194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Badacsonyi,Frankie","Fernandez,Dan SIN",[],[],"['rating_2000_9999', 'cohort_member']",0.09166666666666666,0.041666666666666664,120,144,23,"Badacsonyi,Frankie","Fernandez,Dan SIN",0-1,2025.08.02,,Standard,,2193.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.25,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Royal,Shreyas","Stubbs,Oliver",[],[],"['rating_2000_9999', 'cohort_member']",0.1532258064516129,0.015873015873015872,124,126,23,"Royal,Shreyas","Stubbs,Oliver",1-0,2025.08.02,,Standard,,2495.0,2191.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Murawski,Jan","Clarke,B",[],[],"['rating_2000_9999', 'cohort_member']",0.0,0.12307692307692308,116,130,23,"Murawski,Jan","Clarke,B",0-1,2025.08.02,,Standard,,2189.0,2491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Wadsworth,Matthew J",Manmay Chopra,[],[],"['rating_2000_9999', 'cohort_member']",0.16176470588235295,0.2328767123287671,136,146,23,"Wadsworth,Matthew J",Manmay Chopra,1/2-1/2,2025.08.02,,Standard,,2483.0,2188.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Price,Gwilym","Bazakutsa,Svyatoslav",[],[],"['rating_2000_9999', 'cohort_member']",0.2,0.07352941176470588,145,136,23,"Price,Gwilym","Bazakutsa,Svyatoslav",1/2-1/2,2025.08.02,,Standard,,2186.0,2481.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
